,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
0,2013-01-01 01:00:00,0.974334031259,4.45297736022,0.0,4.42500998185,0.0,0.112709335681,0.112709335681,0.112709335681,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803474326,0.0,11.035430075950298
1,2013-01-01 02:00:00,0.796582201755,4.85031663598,0.0,4.8245660474,0.0,0.122617132373,0.122617132373,0.122617132373,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844148323,0.0,11.496637351635899
2,2013-01-01 03:00:00,0.73502774319,5.03764460085,0.0,5.01219256983,0.0,0.12709904956,0.12709904956,0.12709904956,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455588,0.0,11.7574467561798
3,2013-01-01 04:00:00,0.727433444242,5.10756162043,0.0,5.08246785846,0.0,0.128390711896,0.128390711896,0.128390711896,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553557,0.0,11.8850337911654
4,2013-01-01 05:00:00,0.778706435033,5.27087766386,0.0,5.24673182211,0.0,0.132549360321,0.132549360321,0.132549360321,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137222986,0.0,12.323477076678703
5,2013-01-01 06:00:00,1.04145989636,5.12916528463,0.0,5.10222046586,0.0,0.128913566212,0.128913566212,0.128913566212,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635161058,0.0,12.555488675635505
6,2013-01-01 07:00:00,1.65367167433,4.8585440145,0.0,4.82741192611,0.0,0.121878740033,0.121878740033,0.121878740033,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385260862,0.0,13.220412769332802
7,2013-01-01 08:00:00,2.09300698183,5.17018237295,0.0,5.13710219656,0.0,0.129671273882,0.129671273882,0.129671273882,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626225616,0.0,14.7209970809321
8,2013-01-01 09:00:00,2.02247618596,4.55725114,0.0,4.52928376163,0.0,0.114363953739,0.114363953739,0.114363953739,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488231,0.0,13.34357118103
9,2013-01-01 10:00:00,1.76832171454,4.14653324823,0.0,4.12273074766,0.0,0.104216489741,0.104216489741,0.104216489741,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675,0.0,11.997696404447803
10,2013-01-01 11:00:00,1.6723335467,4.53222252549,0.0,4.50786022951,0.0,0.115042932356,0.115042932356,0.115042932356,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958452556,0.0,12.598191713108598
11,2013-01-01 12:00:00,1.56833204979,3.46929110522,0.0,3.44492134531,0.0,0.0878097212998,0.0878097212998,0.0878097212998,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266167824,0.0,10.209851992706001
12,2013-01-01 13:00:00,1.44736102117,2.34895428626,0.0,2.32499504298,0.0,0.0592666457963,0.0592666457963,0.0592666457963,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166939,0.0,7.670560663172501
13,2013-01-01 14:00:00,1.37267381534,2.1840572575,0.0,2.15926951702,0.0,0.055594020951,0.055594020951,0.055594020951,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927994028,0.0,7.183218447104601
14,2013-01-01 15:00:00,1.32860695731,2.17888848871,0.0,2.15270499169,0.0,0.0555430557706,0.0555430557706,0.0555430557706,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622,0.0,7.083249506555899
15,2013-01-01 16:00:00,1.40548205187,2.30757302031,0.0,2.27993405524,0.0,0.0593210677433,0.0593210677433,0.0593210677433,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991,0.0,7.500469314778798
16,2013-01-01 17:00:00,1.71638861783,2.34282145736,0.0,2.31012940578,0.0,0.059963661674,0.059963661674,0.059963661674,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914885643,0.0,8.189011422144299
17,2013-01-01 18:00:00,2.32338761194,3.30147175747,0.0,3.26175613955,0.0,0.0846455911556,0.0846455911556,0.0846455911556,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680390193,0.0,11.362650303206797
18,2013-01-01 19:00:00,2.73751889927,2.51636311722,0.0,2.47324394325,0.0,0.0633448941642,0.0633448941642,0.0633448941642,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127806361,0.0,10.544690647337598
19,2013-01-01 20:00:00,2.72021416754,2.45240920424,0.0,2.40790173766,0.0,0.0615063857932,0.0615063857932,0.0615063857932,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909663296,0.0,10.4071080485676
20,2013-01-01 21:00:00,2.51736118852,2.64015066624,0.0,2.59411309223,0.0,0.0663098701518,0.0663098701518,0.0663098701518,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.62849874619,0.0,10.384961875816398
21,2013-01-01 22:00:00,2.28195449485,2.93867335813,0.0,2.8937105913,0.0,0.0739324169585,0.0739324169585,0.0739324169585,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411864,0.0,10.527513773042504
22,2013-01-01 23:00:00,1.85710238754,3.46122298769,0.0,3.42231347516,0.0,0.0874208382858,0.0874208382858,0.0874208382858,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370595605,0.0,10.755938914499595
23,2013-01-02 00:00:00,1.41515730283,3.89648387975,0.0,3.86267223736,0.0,0.0985002146036,0.0985002146036,0.0985002146036,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.29887577625,0.0,10.7698271519774
24,2013-01-02 01:00:00,0.945605910065,4.00585559664,0.0,3.97788821826,0.0,0.101119105728,0.101119105728,0.101119105728,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239266161,0.0,10.060549846485497
25,2013-01-02 02:00:00,0.768971819509,4.14420773801,0.0,4.11845714943,0.0,0.104513473682,0.104513473682,0.104513473682,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247153528,0.0,9.9929914738221
26,2013-01-02 03:00:00,0.709510077801,4.28688593947,0.0,4.26143390844,0.0,0.108271538871,0.108271538871,0.108271538871,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.077362829286,0.0,10.167239081253701
